PING 192.168.1.189 (192.168.1.189) 56(84) bytes of data.
64 bytes from 192.168.1.189: icmp_seq=1 ttl=64 time=140 ms
64 bytes from 192.168.1.189: icmp_seq=2 ttl=64 time=39.2 ms
64 bytes from 192.168.1.189: icmp_seq=3 ttl=64 time=17.9 ms
64 bytes from 192.168.1.189: icmp_seq=4 ttl=64 time=6.21 ms
64 bytes from 192.168.1.189: icmp_seq=5 ttl=64 time=2.99 ms
64 bytes from 192.168.1.189: icmp_seq=6 ttl=64 time=3.40 ms
64 bytes from 192.168.1.189: icmp_seq=7 ttl=64 time=3.00 ms
64 bytes from 192.168.1.189: icmp_seq=8 ttl=64 time=4.64 ms
64 bytes from 192.168.1.189: icmp_seq=9 ttl=64 time=17.2 ms
64 bytes from 192.168.1.189: icmp_seq=10 ttl=64 time=3.34 ms
64 bytes from 192.168.1.189: icmp_seq=11 ttl=64 time=3.43 ms
64 bytes from 192.168.1.189: icmp_seq=12 ttl=64 time=4.37 ms
64 bytes from 192.168.1.189: icmp_seq=13 ttl=64 time=4.92 ms
64 bytes from 192.168.1.189: icmp_seq=14 ttl=64 time=3.53 ms
64 bytes from 192.168.1.189: icmp_seq=15 ttl=64 time=4.09 ms
64 bytes from 192.168.1.189: icmp_seq=16 ttl=64 time=5.80 ms
64 bytes from 192.168.1.189: icmp_seq=17 ttl=64 time=4.90 ms
64 bytes from 192.168.1.189: icmp_seq=18 ttl=64 time=28.2 ms
64 bytes from 192.168.1.189: icmp_seq=19 ttl=64 time=3.55 ms
64 bytes from 192.168.1.189: icmp_seq=20 ttl=64 time=3.57 ms
64 bytes from 192.168.1.189: icmp_seq=21 ttl=64 time=3.57 ms
64 bytes from 192.168.1.189: icmp_seq=22 ttl=64 time=3.34 ms
64 bytes from 192.168.1.189: icmp_seq=23 ttl=64 time=3.65 ms
64 bytes from 192.168.1.189: icmp_seq=24 ttl=64 time=3.33 ms
64 bytes from 192.168.1.189: icmp_seq=25 ttl=64 time=3.22 ms
64 bytes from 192.168.1.189: icmp_seq=26 ttl=64 time=5.08 ms
64 bytes from 192.168.1.189: icmp_seq=27 ttl=64 time=3.49 ms
64 bytes from 192.168.1.189: icmp_seq=28 ttl=64 time=3.31 ms
64 bytes from 192.168.1.189: icmp_seq=29 ttl=64 time=91.2 ms
64 bytes from 192.168.1.189: icmp_seq=30 ttl=64 time=4.89 ms
64 bytes from 192.168.1.189: icmp_seq=31 ttl=64 time=3.60 ms
64 bytes from 192.168.1.189: icmp_seq=32 ttl=64 time=3.05 ms
64 bytes from 192.168.1.189: icmp_seq=33 ttl=64 time=3.34 ms
64 bytes from 192.168.1.189: icmp_seq=34 ttl=64 time=4.47 ms
64 bytes from 192.168.1.189: icmp_seq=35 ttl=64 time=3.28 ms
64 bytes from 192.168.1.189: icmp_seq=36 ttl=64 time=3.50 ms
64 bytes from 192.168.1.189: icmp_seq=37 ttl=64 time=3.09 ms
64 bytes from 192.168.1.189: icmp_seq=38 ttl=64 time=3.25 ms
64 bytes from 192.168.1.189: icmp_seq=39 ttl=64 time=5.15 ms
64 bytes from 192.168.1.189: icmp_seq=40 ttl=64 time=5.38 ms
64 bytes from 192.168.1.189: icmp_seq=41 ttl=64 time=3.43 ms
64 bytes from 192.168.1.189: icmp_seq=42 ttl=64 time=29.0 ms
64 bytes from 192.168.1.189: icmp_seq=43 ttl=64 time=3.60 ms
64 bytes from 192.168.1.189: icmp_seq=44 ttl=64 time=4.60 ms
64 bytes from 192.168.1.189: icmp_seq=45 ttl=64 time=4.52 ms
64 bytes from 192.168.1.189: icmp_seq=46 ttl=64 time=4.55 ms
64 bytes from 192.168.1.189: icmp_seq=47 ttl=64 time=3.32 ms
64 bytes from 192.168.1.189: icmp_seq=48 ttl=64 time=4.20 ms
64 bytes from 192.168.1.189: icmp_seq=49 ttl=64 time=4.07 ms
64 bytes from 192.168.1.189: icmp_seq=50 ttl=64 time=3.65 ms

--- 192.168.1.189 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 4929ms
rtt min/avg/max/mdev = 2.993/10.657/140.476/23.177 ms, pipe 2
